phenotype_name,accession_id,accession_name,accession_cs_number,accession_longitude,accession_latitude,accession_country,phenotype_value,obs_unit_id
oleic_acid_content,PI 313129,PI 313129,,0.0,0.0,,59.82,PI 313129_1
oleic_acid_content,PI 270905,PI 270905,,0.0,0.0,Zambia,59.91,PI 270905_1
oleic_acid_content,PI 268868,PI 268868,,0.0,0.0,Sudan,58.17,PI 268868_1
oleic_acid_content,PI 461427,PI 461427,,0.0,0.0,,61.87,PI 461427_1
oleic_acid_content,PI 157542,PI 157542,,115.9667,29.58333,China,68.91,PI 157542_1
oleic_acid_content,PI 337399,PI 337399,,0.0,0.0,Morocco,46.01,PI 337399_1
oleic_acid_content,PI 493329,PI 493329,,0.0,0.0,,45.98,PI 493329_1
oleic_acid_content,PI 259836,PI 259836,,0.0,0.0,Malawi,48.21,PI 259836_1
oleic_acid_content,PI 476025,PI 476025,,-72.7,-12.83333,Peru,44.04,PI 476025_1
oleic_acid_content,PI 158854,PI 158854,,0.0,0.0,China,58.1,PI 158854_1
oleic_acid_content,PI 355268,PI 355268,,0.0,0.0,Mexico,60.95,PI 355268_1
oleic_acid_content,PI 372271,PI 372271,,0.0,0.0,,58.59,PI 372271_1
oleic_acid_content,PI 478819,PI 478819,,0.0,0.0,,52.41,PI 478819_1
oleic_acid_content,PI 355271,PI 355271,,0.0,0.0,Mexico,56.47,PI 355271_1
oleic_acid_content,PI 162857,PI 162857,,0.0,0.0,Sudan,60.56,PI 162857_1
oleic_acid_content,PI 270907,PI 270907,,0.0,0.0,Zambia,54.97,PI 270907_1
oleic_acid_content,PI 290620,PI 290620,,0.0,0.0,Argentina,68.51,PI 290620_1
oleic_acid_content,PI 290536,PI 290536,,78.43333,17.36667,India,67.55,PI 290536_1
oleic_acid_content,PI 403813,PI 403813,,0.0,0.0,Argentina,49.16,PI 403813_1
oleic_acid_content,PI 494018,PI 494018,,0.0,0.0,,46.52,PI 494018_1
oleic_acid_content,PI 296558,PI 296558,,0.0,0.0,Israel,57.57,PI 296558_1
oleic_acid_content,PI 290566,PI 290566,,78.43333,17.36667,India,57.7,PI 290566_1
oleic_acid_content,PI 200441,PI 200441,,0.0,0.0,Japan,50.66,PI 200441_1
oleic_acid_content,PI 494034,PI 494034,,0.0,0.0,,47.12,PI 494034_1
oleic_acid_content,PI 271019,PI 271019,,0.0,0.0,Zambia,47.72,PI 271019_1
oleic_acid_content,PI 271019,PI 271019,,0.0,0.0,Zambia,47.27,PI 271019_2
oleic_acid_content,PI 478850,PI 478850,,0.0,0.0,Uganda,44.66,PI 478850_1
oleic_acid_content,PI 162655,PI 162655,,-56.16667,-34.91667,Uruguay,40.62,PI 162655_1
oleic_acid_content,PI 296550,PI 296550,,0.0,0.0,Israel,53.96,PI 296550_1
oleic_acid_content,PI 268806,PI 268806,,0.0,0.0,Zambia,49.62,PI 268806_1
oleic_acid_content,PI 497517,PI 497517,,-57.55,-30.21667,Brazil,48.77,PI 497517_1
oleic_acid_content,PI 497395,PI 497395,,-64.75,-21.55,Bolivia,63.16,PI 497395_1
oleic_acid_content,PI 268696,PI 268696,,0.0,0.0,South Africa,47.35,PI 268696_1
oleic_acid_content,PI 502111,PI 502111,,0.0,0.0,Peru,51.98,PI 502111_1
oleic_acid_content,PI 337293,PI 337293,,-54.33333,-30.4,Brazil,52.89,PI 337293_1
oleic_acid_content,PI 371521,PI 371521,,0.0,0.0,,71.9,PI 371521_1
oleic_acid_content,PI 497639,PI 497639,,-79.63333,-4.033333,Ecuador,47.72,PI 497639_1
oleic_acid_content,PI 372305,PI 372305,,0.0,0.0,,60.63,PI 372305_1
oleic_acid_content,PI 356004,PI 356004,,0.0,0.0,Argentina,51.07,PI 356004_1
oleic_acid_content,PI 496448,PI 496448,,0.0,0.0,Burkina Faso,57.21,PI 496448_1
oleic_acid_content,PI 399581,PI 399581,,0.0,0.0,Nigeria,56.08,PI 399581_1
oleic_acid_content,PI 290594,PI 290594,,78.43333,17.36667,India,66.56,PI 290594_1
oleic_acid_content,PI 323268,PI 323268,,73.13333,33.66667,Pakistan,62.44,PI 323268_1
oleic_acid_content,PI 270998,PI 270998,,0.0,0.0,Zambia,49.92,PI 270998_1
oleic_acid_content,PI 502040,PI 502040,,0.0,0.0,Peru,62.97,PI 502040_1
oleic_acid_content,PI 339960,PI 339960,,-64.91667,-24.2,Argentina,50.05,PI 339960_1
oleic_acid_content,PI 196622,PI 196622,,0.0,0.0,Ivory Coast,58.31,PI 196622_1
oleic_acid_content,PI 429420,PI 429420,,0.0,0.0,Zimbabwe,81.52,PI 429420_1
oleic_acid_content,PI 337406,PI 337406,,0.0,0.0,Paraguay,50.53,PI 337406_1
oleic_acid_content,PI 331314,PI 331314,,-63.75,-31.83333,Argentina,66.72,PI 331314_1
oleic_acid_content,PI 240560,PI 240560,,0.0,0.0,South Africa,39.55,PI 240560_1
oleic_acid_content,PI 496401,PI 496401,,-4.966667,10.36667,Burkina Faso,57.9,PI 496401_1
oleic_acid_content,PI 295309,PI 295309,,0.0,0.0,Israel,55.67,PI 295309_1
oleic_acid_content,PI 298854,PI 298854,,0.0,0.0,South Africa,57.21,PI 298854_1
oleic_acid_content,PI 475863,PI 475863,,-64.11667,-13.33333,Bolivia,44.79,PI 475863_1
oleic_acid_content,PI 331297,PI 331297,,-63.75,-31.83333,Argentina,53.02,PI 331297_1
oleic_acid_content,PI 370331,PI 370331,,0.0,0.0,,66.29,PI 370331_1
oleic_acid_content,PI 343384,PI 343384,,0.0,0.0,,60.71,PI 343384_1
oleic_acid_content,PI 481795,PI 481795,,0.0,0.0,Mozambique,47.95,PI 481795_1
oleic_acid_content,PI 493547,PI 493547,,0.0,0.0,,48.79,PI 493547_1
oleic_acid_content,PI 270786,PI 270786,,0.0,0.0,Zambia,44.87,PI 270786_1
oleic_acid_content,PI 259851,PI 259851,,0.0,0.0,Malawi,66.9,PI 259851_1
oleic_acid_content,PI 292950,PI 292950,,0.0,0.0,South Africa,61.87,PI 292950_1
oleic_acid_content,PI 493356,PI 493356,,0.0,0.0,,52.25,PI 493356_1
oleic_acid_content,PI 504614,PI 504614,,0.0,0.0,Colombia,43.47,PI 504614_1
oleic_acid_content,PI 476432,PI 476432,,0.0,0.0,Nigeria,51.26,PI 476432_1
oleic_acid_content,PI 288146,PI 288146,,0.0,0.0,India,46.93,PI 288146_1
oleic_acid_content,PI 319768,PI 319768,,0.0,0.0,Israel,51.22,PI 319768_1
oleic_acid_content,PI 493938,PI 493938,,0.0,0.0,,46.86,PI 493938_1
oleic_acid_content,PI 493581,PI 493581,,0.0,0.0,,47.09,PI 493581_1
oleic_acid_content,PI 475918,PI 475918,,-63.18333,-17.78333,Bolivia,49.43,PI 475918_1
oleic_acid_content,PI 343398,PI 343398,,0.0,0.0,,63.75,PI 343398_1
oleic_acid_content,PI 493717,PI 493717,,0.0,0.0,,45.77,PI 493717_1
oleic_acid_content,PI 290560,PI 290560,,78.43333,17.36667,India,52.53,PI 290560_1
oleic_acid_content,PI 295730,PI 295730,,0.0,0.0,India,61.4,PI 295730_1
oleic_acid_content,PI 288210,PI 288210,,0.0,0.0,India,66.02,PI 288210_1
oleic_acid_content,PI 325943,PI 325943,,-63.23333,9.983333,Venezuela,46.66,PI 325943_1
oleic_acid_content,PI 295250,PI 295250,,0.0,0.0,Israel,58.03,PI 295250_1
oleic_acid_content,PI 268586,PI 268586,,0.0,0.0,Zambia,48.56,PI 268586_1
oleic_acid_content,PI 471952,PI 471952,,0.0,0.0,,43.13,PI 471952_1
oleic_acid_content,PI 259658,PI 259658,,-82.38333,22.96667,Cuba,59.62,PI 259658_1
oleic_acid_content,PI 196635,PI 196635,,46.66667,-16.08333,Madagascar,60.69,PI 196635_1
oleic_acid_content,PI 493729,PI 493729,,0.0,0.0,,48.38,PI 493729_1
oleic_acid_content,PI 493693,PI 493693,,0.0,0.0,,46.09,PI 493693_1
oleic_acid_content,PI 476636,PI 476636,,0.0,0.0,Nigeria,62.16,PI 476636_1
oleic_acid_content,PI 407667,PI 407667,,0.0,0.0,Thailand,50.19,PI 407667_1
oleic_acid_content,PI 493880,PI 493880,,0.0,0.0,,43.86,PI 493880_1
oleic_acid_content,PI 319770,PI 319770,,0.0,0.0,Israel,55.36,PI 319770_1
oleic_acid_content,PI 461434,PI 461434,,0.0,0.0,,46.83,PI 461434_1
oleic_acid_content,PI 442768,PI 442768,,0.0,0.0,,56.43,PI 442768_1
oleic_acid_content,PI 471954,PI 471954,,0.0,0.0,,41.78,PI 471954_1
oleic_acid_content,PI 433347,PI 433347,,0.0,0.0,,42.16,PI 433347_1
oleic_acid_content,PI 268996,PI 268996,,0.0,0.0,Zambia,66.02,PI 268996_1
oleic_acid_content,PI 408743,PI 408743,,0.0,0.0,Brazil,37.49,PI 408743_1
oleic_acid_content,PI 497318,PI 497318,,-65.25,-19.03333,Bolivia,60.97,PI 497318_1
oleic_acid_content,PI 493631,PI 493631,,0.0,0.0,,49.61,PI 493631_1
oleic_acid_content,PI 259617,PI 259617,,-82.38333,22.96667,Cuba,46.12,PI 259617_1
oleic_acid_content,PI 502120,PI 502120,,0.0,0.0,Peru,56.14,PI 502120_1
oleic_acid_content,PI 482120,PI 482120,,31.45,-18.9,Zimbabwe,47.41,PI 482120_1
oleic_acid_content,PI 494795,PI 494795,,24.16667,-11.75,Zambia,56.66,PI 494795_1
oleic_acid_content,PI 159786,PI 159786,,-17.45,14.63333,Senegal,56.6,PI 159786_1
oleic_acid_content,PI 268755,PI 268755,,0.0,0.0,Zambia,47.67,PI 268755_1
oleic_acid_content,PI 262038,PI 262038,,0.0,0.0,Brazil,45.82,PI 262038_1
oleic_acid_content,PI 290536,PI 290536,,78.43333,17.36667,India,67.09,PI 290536_2
oleic_acid_content,PI 476636,PI 476636,,0.0,0.0,Nigeria,55.64,PI 476636_2
oleic_acid_content,PI 290594,PI 290594,,78.43333,17.36667,India,70.26,PI 290594_2
oleic_acid_content,PI 268996,PI 268996,,0.0,0.0,Zambia,59.21,PI 268996_2
oleic_acid_content,PI 497639,PI 497639,,-79.63333,-4.033333,Ecuador,43.65,PI 497639_2
oleic_acid_content,PI 476025,PI 476025,,-72.7,-12.83333,Peru,46.22,PI 476025_2
oleic_acid_content,PI 268755,PI 268755,,0.0,0.0,Zambia,44.71,PI 268755_2
oleic_acid_content,PI 493880,PI 493880,,0.0,0.0,,42.7,PI 493880_2
oleic_acid_content,PI 461427,PI 461427,,0.0,0.0,,45.75,PI 461427_2
oleic_acid_content,PI 259617,PI 259617,,-82.38333,22.96667,Cuba,44.8,PI 259617_2
oleic_acid_content,PI 493356,PI 493356,,0.0,0.0,,47.22,PI 493356_2
oleic_acid_content,PI 493581,PI 493581,,0.0,0.0,,44.34,PI 493581_2
oleic_acid_content,PI 262038,PI 262038,,0.0,0.0,Brazil,49.79,PI 262038_2
oleic_acid_content,PI 339960,PI 339960,,-64.91667,-24.2,Argentina,50.82,PI 339960_2
