"rep","fold","r","model"
1,1,0.968496446769997,"Additive"
1,2,0.974730675836892,"Additive"
1,3,0.964222146359808,"Additive"
1,4,0.970352867100215,"Additive"
1,5,0.97553720863367,"Additive"
2,1,0.96225245815339,"Additive"
2,2,0.93721173126399,"Additive"
2,3,0.986000503133734,"Additive"
2,4,0.974996916183456,"Additive"
2,5,0.948704975159517,"Additive"
3,1,0.947931151577964,"Additive"
3,2,0.966788619431361,"Additive"
3,3,0.968213145800339,"Additive"
3,4,0.960326651320121,"Additive"
3,5,0.965065399656493,"Additive"
4,1,0.97153897972084,"Additive"
4,2,0.946576581874794,"Additive"
4,3,0.970168162851551,"Additive"
4,4,0.957752691630382,"Additive"
4,5,0.96158407223352,"Additive"
5,1,0.960324737159688,"Additive"
5,2,0.946147050680545,"Additive"
5,3,0.947690986716736,"Additive"
5,4,0.982744770905002,"Additive"
5,5,0.982821550323808,"Additive"
6,1,0.979703129617965,"Additive"
6,2,0.969511192217457,"Additive"
6,3,0.965371414608423,"Additive"
6,4,0.982906435494171,"Additive"
6,5,0.941467775111559,"Additive"
7,1,0.95925049533205,"Additive"
7,2,0.966265863073858,"Additive"
7,3,0.982546977349959,"Additive"
7,4,0.983294131326052,"Additive"
7,5,0.949120778566328,"Additive"
8,1,0.96508081466602,"Additive"
8,2,0.978443593657984,"Additive"
8,3,0.946023270962551,"Additive"
8,4,0.98655758179152,"Additive"
8,5,0.947986321604128,"Additive"
9,1,0.971231581964071,"Additive"
9,2,0.962615129361156,"Additive"
9,3,0.970299964291682,"Additive"
9,4,0.980887457512917,"Additive"
9,5,0.96317426328603,"Additive"
10,1,0.97189790236431,"Additive"
10,2,0.94589077219076,"Additive"
10,3,0.984180995374555,"Additive"
10,4,0.962040522345332,"Additive"
10,5,0.960715013187035,"Additive"
