"Taxa","BLUP","GEBV","PEV","rel","deBLUP","weight"
"PI 155107",-5.83922502469045,-4.62473940145532,7.0326568212348,0.140014514334953,-33.0304284768054,0.358679193219341
"PI 157542",12.1533952286952,6.09838114978329,7.52587542893753,0.0797014840441055,76.5152772614441,0.192234257844088
"PI 158854",5.90309580546911,4.66938126910466,7.89532462488446,0.05,93.3876253820931,0.117220805192959
"PI 159786",2.6834293708707,4.59897568071376,7.89488210390202,0.05,91.9795136142753,0.117220805192959
"PI 162655",-7.67072518584925,-5.15704693997513,7.28801531374086,0.108788108329555,-47.4045097314565,0.270003432816491
"PI 162857",3.95483174135132,5.90411192775866,7.62808893796909,0.0672023480219102,87.8557386987986,0.160146503888239
"PI 196622",6.51897896814799,4.72421812396567,7.89670111919845,0.05,94.4843624793133,0.117220805192959
"PI 196635",7.31779772370175,4.59404266032614,7.88687800375221,0.05,91.8808532065227,0.117220805192959
"PI 200441",-3.89310519298234,-3.8624921117694,6.3713573214902,0.220881245915076,-17.4867363490626,0.617237411930825
"PI 240560",-7.22863083640156,-5.12558255799633,7.10749581938788,0.130862858878224,-39.1675881295394,0.332105360232258
"PI 259617",-5.3504920828858,-5.08482355158172,7.34551328573975,0.101756992972849,-49.9702615321824,0.250793492510055
"PI 259658",6.17140134168565,5.41009793022216,7.73833665643339,0.0537207520736044,100.707784634318,0.126386968122362
"PI 259836",-3.29246666304306,-2.9328851077242,6.38930740350246,0.218686227675251,-13.411384607537,0.609600507583826
"PI 259851",10.6624701467647,5.75027439974107,7.68837798270247,0.059829927508121,96.1103353996302,0.141577794771486
"PI 262038",-6.82007467898092,-5.3297846621027,7.21591816511782,0.117604477868081,-45.3195725088053,0.294475145530617
"PI 268586",-2.20704881198526,-3.21073059030793,6.39494345777853,0.217997025145248,-14.7283229583921,0.607210378803219
"PI 268755",-6.5334755834769,-4.5855203410971,7.0963382174971,0.132227261539239,-34.6790842351094,0.336035684351441
"PI 268806",-4.7864406715215,4.54328810628185,7.87350195386042,0.05,90.865762125637,0.117220805192959
"PI 268868",3.47919919987656,4.58756054230363,7.86676510243398,0.05,91.7512108460727,0.117220805192959
"PI 268996",7.21413422107265,-3.26683044985018,6.75206374504366,0.174326720807745,-18.7396999995944,0.462934847374227
"PI 270786",-7.82012258669709,4.54253296890274,7.85414655670355,0.05,90.8506593780548,0.117220805192959
"PI 270905",4.61644880224891,5.17439434213828,6.34155072613888,0.224526132908827,23.0458444863496,0.630002228789543
"PI 270907",-2.55462643844758,4.59608385998455,7.88970247331981,0.05,91.921677199691,0.117220805192959
"PI 270998",-3.39308123912425,-0.364184717200955,5.85255087403457,0.2843232744432,-1.28088253736579,0.85548793942285
"PI 271019",-6.27477033494779,-2.18619325741523,4.99144284101927,0.38962350859464,-5.61104042541162,1.34342008817641
"PI 274193",8.84599755680651,4.73548069277773,6.56637240211044,0.197033908687868,24.0338362280548,0.536233143449835
"PI 288146",-6.14016405879583,-5.06919768117879,7.28948909269938,0.1086078878886,-46.6743049674099,0.269507681790541
"PI 288210",8.87579918968641,3.97057794195273,5.99770840895696,0.266572746251459,14.8949132939767,0.785221027556791
"PI 290536",11.7814261898496,4.6855337344046,7.8346647299241,0.05,93.7106746880921,0.117220805192959
"PI 290560",-4.35959095481336,-5.01000347803148,7.05742232919775,0.136986074595231,-36.5730859347209,0.349830179928707
"PI 290566",4.21399049792411,4.59623544201749,7.83749058707702,0.05,91.9247088403499,0.117220805192959
"PI 290620",11.1487878361631,5.89425979993408,5.66545675280322,0.307202000478345,19.1869186748658,0.950632476419782
"PI 292950",7.83916416339526,4.67759670913538,7.8931838481279,0.05,93.5519341827076,0.117220805192959
"PI 295250",3.86641287146178,4.69058221060959,7.84977349010648,0.05,93.8116442121919,0.117220805192959
"PI 295309",3.06928365602053,4.7150182489198,7.88994983296017,0.05,94.300364978396,0.117220805192959
"PI 295730",8.24162246772006,-2.21002397815122,6.65632220459768,0.186034434869682,-11.8796500212412,0.500277724783955
"PI 296550",2.40902598155833,2.28792507784252,5.71087916927233,0.301647539357859,7.5847629412559,0.927039066123013
"PI 296558",3.76274936883266,2.77551942379107,5.67864443041406,0.305589350860535,9.08251356264624,0.943748983988881
"PI 298854",4.88780326501336,5.77867799058858,7.64721733810143,0.0648632396456654,89.0901845506994,0.154226714416204
"PI 313129",5.50063750114431,4.01670926325635,5.97552164387229,0.269285845501384,14.9161544520754,0.795769204122103
"PI 319768",-1.15516915295452,-1.33081332186338,4.66107852757808,0.430021969910605,-3.09475658218121,1.57066022577932
"PI 319770",2.58586372133741,2.373620000602,4.71636167470368,0.423261693483303,5.60792539733018,1.53077425442496
"PI 323268",8.70201037645525,5.90938721257398,7.60887591284699,0.0695518047294856,84.9638228016931,0.166119248545547
"PI 325943",-7.30180507355151,-5.17489364525187,7.41674418387778,0.0930465525110562,-55.6161781989394,0.227363384691841
"PI 331297",-2.22839129782067,-0.311344514028219,4.98457883737053,0.39046287039794,-0.797372906957613,1.34788229860547
"PI 331314",10.0510324581726,5.05033107880373,5.17453542954574,0.367234108305666,13.7523475205089,1.22811047796342
"PI 337293",-3.72846315939492,-4.45512170262136,7.0779772797138,0.134472521104466,-33.130350097031,0.342527326330652
"PI 337399",-2.71012169239125,-5.25626602878704,7.29848038036186,0.107508392053139,-48.8916811832604,0.266487041364113
"PI 337406",-2.17351061995819,-4.29629206116007,5.92530661537316,0.275426369171062,-15.5986954847149,0.819895687765228
"PI 339960",-3.83212666202404,-4.29939146884175,6.34069407778668,0.224630887792782,-19.1398053539629,0.630370644302494
"PI 343384",3.61030304143691,1.39064325455044,4.5075710496138,0.448793567380244,3.09862563910638,1.68568306041464
"PI 343398",6.98546472997901,5.0537199036895,6.20674562274923,0.241010718358613,20.9688595515897,0.689068743481547
"PI 355268",8.09222506687221,5.85510141557914,7.60485669747501,0.0700432927931753,83.5926065450428,0.167372109856502
"PI 355271",3.48834597952029,6.11008529619341,7.33520899400193,0.1030170489602,59.3113990146815,0.254216424537124
"PI 356004",-2.49364790748927,-5.09916176589441,7.39079468417611,0.0962197761832708,-52.99494519902,0.235852430374708
"PI 370331",12.882088673647,6.21677601948681,6.22269814799912,0.2390599705085,26.0050898787582,0.681962454466447
"PI 371521",17.5256038061218,6.8588242324119,6.3218758845278,0.226932062651794,30.2241303069462,0.638485735378362
"PI 372271",4.36948575186778,4.75136145048143,7.85657735664963,0.05,95.0272290096285,0.117220805192959
"PI 372305",7.30865094405802,4.37471214650462,6.2228449505946,0.239042018814769,18.3010174035325,0.681897206702966
"PI 399581",3.247480782235,2.50164215479393,4.86563602402261,0.405007742372145,6.17677612813454,1.42689034754707
"PI 403813",-4.11567683098015,-4.76426105572577,6.57301983474549,0.196221030180017,-24.2800736055403,0.533546395704261
"PI 407667",-6.52432880383314,-5.32715719490567,7.19067171803421,0.12069172904618,-44.1385440162793,0.303147461883001
"PI 408743",-10.5810031941598,-4.71476451280996,5.1752870600089,0.367142195490163,-12.8417941896201,1.22765141400682
"PI 429420",3.56761806976609,1.33071368078547,5.33459674079432,0.34766107808547,3.82761765600439,1.13284635699093
"PI 433347",-8.7256537714279,-3.55154560336216,4.72216892179757,0.422551556711474,-8.40499945379973,1.52662986871693
"PI 442768",1.03091118190066,4.2373350953961,6.72827222363481,0.177236057010774,23.9078614524725,0.472127027792478
"PI 461427",-0.950891074244202,-5.10099229206125,7.38810107574291,0.0965491629592071,-52.8331073591644,0.236736651921491
"PI 461434",-3.1186778498119,-4.3783773248782,6.41169190244597,0.215948948623445,-20.275057381793,0.600129444388097
"PI 468271",11.7621800146111,4.20475389089208,6.49100597341698,0.206250060766708,20.3866795251427,0.567032235173805
"PI 471952",-5.73970396231646,-4.47061780085409,5.60377866576918,0.314744279446473,-14.2039684048154,0.983196309975968
"PI 471954",-10.4239058586167,-7.29233591792983,5.57619866151748,0.318116888682775,-22.9234478814538,0.997957993387607
"PI 475863",-6.19504473665831,-4.66566443444803,6.42673738807328,0.214109117732621,-21.7910590817272,0.593796060249451
"PI 475918",-5.06694191392969,-4.65937018233699,6.54023885456327,0.20022963857357,-23.2701323117306,0.546842239140233
"PI 475931",-5.20865328486185,1.42525881198601,6.64098804534949,0.187909566092992,7.58481242663655,0.506346631472128
"PI 476025",-9.53361930662542,-1.76856691731771,6.87590939352821,0.15918230769805,-11.1103233951883,0.415992869642017
"PI 476432",-2.30389366247821,-1.5431772837098,5.30097885064475,0.351772027662878,-4.38686752315823,1.15244738397917
"PI 476596",2.33133480629443,-0.203434978156171,5.13450944439402,0.372128669089008,-0.54667913293053,1.25272160614796
"PI 476636",3.84811931217429,4.6065486482179,7.87504348688046,0.05,92.130972964358,0.117220805192959
"PI 478850",-7.70121445132841,-5.48101465338634,7.09533761551418,0.132349619732467,-41.4131499921627,0.336388687083659
"PI 481795",-3.68577818772411,4.68303247657356,7.88141014028861,0.05,93.6606495314712,0.117220805192959
"PI 482120",-5.28036677228375,-4.66241853914933,7.03300198034535,0.139972306698087,-33.3095785097399,0.35855548449002
"PI 482189",-6.92263302278774,-4.17512733624076,5.73019798457291,0.299285146142741,-13.950332617742,0.917102301814937
"PI 493356",-3.53333186032835,-4.60265178232584,6.27352798369119,0.232844265399454,-19.7670824077621,0.659530092315065
"PI 493547",-3.63394643640956,-4.82554653880631,6.99996412903941,0.144012326469119,-33.5078715629323,0.370445554004783
"PI 493581",-7.31400077974317,-5.32231712713667,7.34809985939429,0.101440694899867,-52.4672778749239,0.249935612784987
"PI 493631",-3.14611818874313,-4.83238165381618,6.60307466262704,0.192545788175566,-25.0973116556045,0.521458240574022
"PI 493693",-6.57006270205188,-4.79138438166566,6.19051698917793,0.242995229998846,-19.7180182577593,0.696330800146872
"PI 493717",-6.96032530018502,-4.85921254521432,5.74845540175254,0.297052545551054,-16.3580909101456,0.907764481850675
"PI 493729",-5.4724491448024,-4.9732711871694,6.27965761286058,0.232094706270923,-21.4277665659644,0.656846382976844
"PI 493880",-8.0640367105303,-5.47412121621827,6.28376873423778,0.231591979519984,-23.6369205339683,0.655048991107006
"PI 493938",-6.40237174191654,-5.01595646314614,5.55383932735356,0.320851090470078,-15.6332847608443,1.01001788978178
"PI 494018",-6.58225840824353,-2.75934028948602,6.72041677310248,0.178196657479825,-15.4848038594574,0.475174678892232
"PI 494034",-2.22534237127275,-4.24999919555572,5.66304489675676,0.307496933282005,-13.8212734357843,0.951894366676677
"PI 494795",-0.344154691209085,1.58497670945407,6.6039850592797,0.192434460703262,8.23644945745001,0.521093585154319
"PI 496401",1.6406964914837,4.11640080266238,6.59679205132188,0.193314054660317,21.2938516544777,0.523977124932823
"PI 496448",4.46095354830523,4.73683516791424,7.89057022843687,0.05,94.7367033582849,0.117220805192959
"PI 497318",8.56175975525115,4.6286026074251,6.98519534028104,0.145818321599537,31.7422567798901,0.375792917709293
"PI 497395",8.37997328576732,4.63705597971384,6.99953282615149,0.144065068161621,32.1872334417093,0.370601433546849
"PI 497517",-4.3047102769509,-4.25986518624573,6.39970731552683,0.217414478801319,-19.5932911631821,0.605193004571678
"PI 497639",-6.87495535684339,-1.67349044910483,6.88423275682249,0.158164488713426,-10.5806964807188,0.412891521270795
"PI 502040",7.23242778036013,1.94901847996737,6.96794215101996,0.147928120601979,13.1754427220196,0.382065209656755
"PI 502111",-0.545588039349356,-1.415606357745,6.83454915132647,0.164240027544366,-8.61913127335905,0.431502894590741
"PI 502120",1.22909140751515,2.1959561136374,5.81984532941709,0.288322658230402,7.61631474652466,0.871738332232591
"PI 504614",-7.51827885845349,-4.74285839155042,7.05988294237131,0.136685179546761,-34.6991415402709,0.348953977301214
