"rep","fold","r","RMSE","bias"
1,1,0.968515478076001,12.402103234773,0.929188973891099
1,2,0.974732192440347,13.3480763994535,0.872432274608981
1,3,0.964261348025278,15.3152301989439,0.9114750185364
1,4,0.970381235966735,10.8106328451789,0.919560026027532
1,5,0.975540662537882,11.6040930883089,0.92715093465914
2,1,0.962277313200874,15.1713714330577,0.850023906237958
2,2,0.937252086530069,17.6831307642249,0.870138712023919
2,3,0.986021442978207,9.733690829911,0.948300827038725
2,4,0.975007912184279,11.3680182981679,0.944714554769979
2,5,0.948755210496453,14.8464351490484,0.843674599008257
3,1,0.94795395428617,16.7956591511327,0.841837404641485
3,2,0.966840680974713,11.8095463417862,0.899928687669264
3,3,0.968237522755876,12.917906553303,0.894511311528813
3,4,0.960347370409467,14.8768154567932,0.928551039800904
3,5,0.96510033981133,13.6929438736626,0.912303183178178
4,1,0.971565440677755,12.4229898681928,0.957124517915756
4,2,0.946593970381839,17.1618161379969,0.774708819371148
4,3,0.970192864947076,11.7800355443306,0.92875614387975
4,4,0.957773516900277,16.5658018684693,0.931901788058903
4,5,0.961605851746995,13.2323144516299,0.936666738167392
5,1,0.960359669300592,15.3314229628172,0.87624106457614
5,2,0.946179485865628,18.2955396707184,0.871453642764317
5,3,0.947726358284694,17.6248795906319,0.8605886173448
5,4,0.982761432167118,9.56076066302129,0.916251981870575
5,5,0.982830593918521,10.3278061250459,0.926872098003951
6,1,0.979720032801451,13.3033434282338,0.896697182914069
6,2,0.96954790394643,13.5459876582526,0.87302876864541
6,3,0.965407876528866,13.0523127049948,0.927613341388261
6,4,0.982929806700855,11.8231204248858,1.05229225626984
6,5,0.941477634304283,17.1587995245618,0.814904679491226
7,1,0.959256738075762,15.2430129869763,0.88884402171392
7,2,0.966296991122489,13.828865867498,0.921744953541201
7,3,0.982560526878274,10.229574064599,0.914647992451619
7,4,0.983314532391271,9.32216556374525,0.937131166635125
7,5,0.94916163946238,15.9583840722523,0.861715294421954
8,1,0.965113969181624,13.9689050510305,0.850748956547579
8,2,0.978470421617908,11.5400764206255,0.958372537358902
8,3,0.946049177595123,14.6057115325426,0.898364881666048
8,4,0.98656978040537,9.00803032935821,0.97602324292788
8,5,0.94800333513701,15.1828295936557,0.838408576962718
9,1,0.971248434397506,11.3582280811636,0.916862716509271
9,2,0.962633007187399,14.1545640258582,0.90201020068758
9,3,0.970312620476445,14.7713286889588,0.918640913978616
9,4,0.980914743191453,10.4695401618685,0.946706048572358
9,5,0.963208086684271,14.5677114813063,0.852843830668222
10,1,0.971923438427516,12.4429128239766,0.969853494535202
10,2,0.945909338749932,14.5472903287762,0.837585574952587
10,3,0.984192658158153,9.41649043299436,0.96852245387998
10,4,0.962057607234238,12.7341474286209,0.80163312961776
10,5,0.960745344537469,16.7586428836019,0.866853901488296
