"rep","fold","Taxa","observed","predicted"
1,1,"PI 162655",-47.4045097307795,-45.5998126996827
1,1,"PI 162857",87.8557386974058,86.0300963202779
1,1,"PI 200441",-17.4867363486021,-21.8809776546346
1,1,"PI 268996",-18.7396999989541,-29.6558864918676
1,1,"PI 270907",91.9216771993511,91.8954216737001
1,1,"PI 274193",24.0338362276932,28.2844848150999
1,1,"PI 288210",14.8949132937833,27.6032839736284
1,1,"PI 290536",93.7106746878443,91.5320809047124
1,1,"PI 292950",93.5519341824262,93.3217441428167
1,1,"PI 323268",84.9638228003057,85.3695839250479
1,1,"PI 339960",-19.139805353552,-26.8594645854715
1,1,"PI 355271",59.3113990135345,77.5210992303909
1,1,"PI 370331",26.0050898783708,47.2815027658504
1,1,"PI 372305",18.3010174031283,60.2103587372469
1,1,"PI 399581",6.17677612805178,-0.71114026292217
1,1,"PI 433347",-8.40499945385635,-2.79563498623747
1,1,"PI 442768",23.9078614520448,35.5960296459207
1,1,"PI 476025",-11.1103233953259,-10.497767302041
1,1,"PI 493581",-52.467277874188,-45.0112208559948
1,1,"PI 497395",32.1872334414205,31.1081673879907
1,1,"PI 502120",7.61631474631251,2.36857295820065
1,2,"PI 157542",76.5152772600273,81.3504117980824
1,2,"PI 268868",91.7512108457322,91.7537735010683
1,2,"PI 271019",-5.6110404254436,1.40598333803901
1,2,"PI 295250",93.8116442119282,92.9321718566729
1,2,"PI 298854",89.0901845491034,89.0803391621339
1,2,"PI 331314",13.7523475204017,-13.8363160271362
1,2,"PI 337293",-33.1303500962705,-35.8023009376377
1,2,"PI 337406",-15.5986954843422,-16.7471310225345
1,2,"PI 343384",3.09862563909943,-15.1556085443843
1,2,"PI 468271",20.3866795249287,19.3257009886937
1,2,"PI 481795",93.6606495311802,94.1904528624007
1,2,"PI 482120",-33.3095785090718,-38.9921741839225
1,2,"PI 482189",-13.9503326174076,-26.8909451547402
1,2,"PI 493356",-19.7670824072696,-36.2639671626632
1,2,"PI 493547",-33.5078715622015,-44.7934843931875
1,2,"PI 493717",-16.358090909818,-21.00078431034
1,2,"PI 494034",-13.8212734354372,-41.8489933209148
1,2,"PI 496401",21.2938516538893,54.3559588411648
1,2,"PI 496448",94.7367033580305,94.5589290822713
1,2,"PI 497318",31.7422567795936,30.8179757156793
1,2,"PI 497517",-19.5932911626775,-27.5699541181235
1,3,"PI 155107",-33.0304284762533,-32.946200030903
1,3,"PI 158854",93.3876253818025,94.2087432663607
1,3,"PI 196622",94.484362479052,94.6546697812603
1,3,"PI 259617",-49.9702615314471,-53.8520686393395
1,3,"PI 259658",100.707784632293,93.1504349264206
1,3,"PI 268755",-34.6790842345355,-34.0447159765447
1,3,"PI 270786",90.8506593776961,92.8861285218271
1,3,"PI 270998",-1.28088253738996,-2.88802633106688
1,3,"PI 288146",-46.6743049666706,-41.174771039325
1,3,"PI 290566",91.9247088400474,91.1322728988965
1,3,"PI 290620",19.1869186745998,37.2090960048119
1,3,"PI 313129",14.9161544517895,30.2845584162592
1,3,"PI 319770",5.60792539732361,-26.1277472424271
1,3,"PI 331297",-0.797372907023051,17.568269057819
1,3,"PI 337399",-48.891681182551,-44.8381809885217
1,3,"PI 471954",-22.923447881111,-69.3496313641342
