"Taxa","BLUP","GEBV"
"PI 155107",-5.83922502469045,48.017032745381
"PI 157542",12.1533952286952,66.0096529987667
"PI 158854",5.90309580546911,59.7593535755406
"PI 159786",2.6834293708707,56.5396871409422
"PI 162655",-7.67072518584925,46.1855325842222
"PI 162857",3.95483174135132,57.8110895114228
"PI 196622",6.51897896814799,60.3752367382195
"PI 196635",7.31779772370175,61.1740554937732
"PI 200441",-3.89310519298234,49.9631525770891
"PI 240560",-7.22863083640156,46.6276269336699
"PI 259617",-5.3504920828858,48.5057656871857
"PI 259658",6.17140134168565,60.0276591117571
"PI 259836",-3.29246666304306,50.5637911070284
"PI 259851",10.6624701467647,64.5187279168362
"PI 262038",-6.82007467898092,47.0361830910906
"PI 268586",-2.20704881198526,51.6492089580862
"PI 268696",-6.69201976396847,47.164238006103
"PI 268755",-6.5334755834769,47.3227821865946
"PI 268806",-4.7864406715215,49.06981709855
"PI 268868",3.47919919987656,57.335456969948
"PI 268996",7.21413422107265,61.0703919911441
"PI 270786",-7.82012258669709,46.0361351833744
"PI 270905",4.61644880224891,58.4727065723204
"PI 270907",-2.55462643844758,51.3016313316239
"PI 270998",-3.39308123912425,50.4631765309472
"PI 271019",-6.27477033494779,47.5814874351237
"PI 274193",8.84599755680651,62.702255326878
"PI 288146",-6.14016405879583,47.7160937112756
"PI 288210",8.87579918968641,62.7320569597579
"PI 290536",11.7814261898496,65.637683959921
"PI 290560",-4.35959095481336,49.4966668152581
"PI 290566",4.21399049792411,58.0702482679956
"PI 290594",13.3546722885738,67.2109300586453
"PI 290620",11.1487878361631,65.0050456062346
"PI 292950",7.83916416339526,61.6954219334667
"PI 295250",3.86641287146178,57.7226706415332
"PI 295309",3.06928365602053,56.925541426092
"PI 295730",8.24162246772006,62.0978802377915
"PI 296550",2.40902598155833,56.2652837516298
"PI 296558",3.76274936883266,57.6190071389041
"PI 298854",4.88780326501336,58.7440610350848
"PI 313129",5.50063750114431,59.3568952712158
"PI 319768",-1.15516915295452,52.701088617117
"PI 319770",2.58586372133741,56.4421214914089
"PI 323268",8.70201037645525,62.5582681465267
"PI 325943",-7.30180507355151,46.55445269652
"PI 331297",-2.22839129782067,51.6278664722508
"PI 331314",10.0510324581726,63.907290228244
"PI 337293",-3.72846315939492,50.1277946106766
"PI 337399",-2.71012169239125,51.1461360776802
"PI 337406",-2.17351061995819,51.6827471501133
"PI 339960",-3.83212666202404,50.0241311080474
"PI 343384",3.61030304143691,57.4665608115084
"PI 343398",6.98546472997901,60.8417225000505
"PI 355268",8.09222506687221,61.9484828369437
"PI 355271",3.48834597952029,57.3446037495918
"PI 356004",-2.49364790748927,51.3626098625822
"PI 370331",12.882088673647,66.7383464437184
"PI 371521",17.5256038061218,71.3818615761932
"PI 372271",4.36948575186778,58.2257435219393
"PI 372305",7.30865094405802,61.1649087141295
"PI 399581",3.247480782235,57.1037385523065
"PI 403813",-4.11567683098015,49.7405809390913
"PI 407667",-6.52432880383314,47.3319289662383
"PI 408743",-10.5810031941598,43.2752545759116
"PI 429420",3.56761806976609,57.4238758398376
"PI 433347",-8.7256537714279,45.1306039986436
"PI 442768",1.03091118190066,54.8871689519721
"PI 461427",-0.950891074244202,52.9053666958273
"PI 461434",-3.1186778498119,50.7375799202596
"PI 468271",11.7621800146111,65.6184377846826
"PI 471952",-5.73970396231646,48.116553807755
"PI 471954",-10.4239058586167,43.4323519114548
"PI 475863",-6.19504473665831,47.6612130334132
"PI 475918",-5.06694191392969,48.7893158561418
"PI 475931",-5.20865328486185,48.6476044852096
"PI 476025",-9.53361930662542,44.322638463446
"PI 476432",-2.30389366247821,51.5523641075933
"PI 476596",2.33133480629443,56.1875925763659
"PI 476636",3.84811931217429,57.7043770822458
"PI 478819",-4.72241321401528,49.1338445560562
"PI 478850",-7.70121445132841,46.1550433187431
"PI 481795",-3.68577818772411,50.1704795823474
"PI 482120",-5.28036677228375,48.5758909977877
"PI 482189",-6.92263302278774,46.9336247472837
"PI 493329",-8.59454992986755,45.2617078402039
"PI 493356",-3.53333186032835,50.3229259097431
"PI 493547",-3.63394643640956,50.2223113336619
"PI 493581",-7.31400077974317,46.5422569903283
"PI 493631",-3.14611818874313,50.7101395813283
"PI 493693",-6.57006270205188,47.2861950680196
"PI 493717",-6.96032530018502,46.8959324698865
"PI 493729",-5.4724491448024,48.3838086252691
"PI 493880",-8.0640367105303,45.7922210595412
"PI 493938",-6.40237174191654,47.4538860281549
"PI 494018",-6.58225840824353,47.2739993618279
"PI 494034",-2.22534237127275,51.6309153987987
"PI 494795",-0.344154691209085,53.5121030788624
"PI 496401",1.6406964914837,55.4969542615552
"PI 496448",4.46095354830523,58.3172113183767
"PI 497318",8.56175975525115,62.4180175253226
"PI 497395",8.37997328576732,62.2362310558388
"PI 497517",-4.3047102769509,49.5515474931206
"PI 497639",-6.87495535684339,46.9813024132281
"PI 502040",7.23242778036013,61.0886855504316
"PI 502111",-0.545588039349356,53.3106697307221
"PI 502120",1.22909140751515,55.0853491775866
"PI 504614",-7.51827885845349,46.337978911618
